Zone,Parameter,MK_p_value,MK_Significant,Sens_Slope,Corr_Coefficient,Corr_p_value
Tolo Harbour and Channel,Temperature,0.000179,TRUE,0.004798,,
Tolo Harbour and Channel,Chlorophyll-a,1.999999,FALSE,-0.008741,,
Tolo Harbour and Channel,Dissolved Oxygen,1.632601,FALSE,-0.004577,,
Tolo Harbour and Channel,Temp vs. Chl-a,,,,0.033711,0.467377
Tolo Harbour and Channel,Temp vs. DO,,,,-0.201109,0.000012
Southern,Temperature,0.001897,TRUE,0.004231,,
Southern,Chlorophyll-a,0.001345,TRUE,0.003007,,
Southern,Dissolved Oxygen,1.973149,FALSE,-0.008643,,
Southern,Temp vs. Chl-a,,,,0.433083,0
Southern,Temp vs. DO,,,,-0.228303,0.000004
Port Shelter,Temperature,0.002422,TRUE,0.003922,,
Port Shelter,Chlorophyll-a,0.001393,TRUE,0.001268,,
Port Shelter,Dissolved Oxygen,1.828827,FALSE,-0.00582,,
Port Shelter,Temp vs. Chl-a,,,,-0.019453,0.675004
Port Shelter,Temp vs. DO,,,,-0.295958,0
Junk Bay,Temperature,0.002359,TRUE,0.003846,,
Junk Bay,Chlorophyll-a,0.072333,FALSE,0.00088,,
Junk Bay,Dissolved Oxygen,0,TRUE,0.022388,,
Junk Bay,Temp vs. Chl-a,,,,0.282601,0
Junk Bay,Temp vs. DO,,,,-0.168624,0.000264
Deep Bay,Temperature,0.00193,TRUE,0.004421,,
Deep Bay,Chlorophyll-a,0.012135,TRUE,0.001746,,
Deep Bay,Dissolved Oxygen,1.75657,FALSE,-0.00554,,
Deep Bay,Temp vs. Chl-a,,,,0.008215,0.861432
Deep Bay,Temp vs. DO,,,,-0.304645,0
Mirs Bay,Temperature,0.002978,TRUE,0.003891,,
Mirs Bay,Chlorophyll-a,0.000006,TRUE,0.001968,,
Mirs Bay,Dissolved Oxygen,1.611224,FALSE,-0.003653,,
Mirs Bay,Temp vs. Chl-a,,,,0.137288,0.00387
Mirs Bay,Temp vs. DO,,,,-0.365963,0
North Western,Temperature,0.002284,TRUE,0.004546,,
North Western,Chlorophyll-a,0.623063,FALSE,0.000282,,
North Western,Dissolved Oxygen,1.948622,FALSE,-0.011289,,
North Western,Temp vs. Chl-a,,,,0.177868,0.000402
North Western,Temp vs. DO,,,,-0.413953,0
Western Buffer,Temperature,0.00246,TRUE,0.003522,,
Western Buffer,Chlorophyll-a,0.002445,TRUE,0.001167,,
Western Buffer,Dissolved Oxygen,1.27177,FALSE,-0.001355,,
Western Buffer,Temp vs. Chl-a,,,,0.251737,0
Western Buffer,Temp vs. DO,,,,-0.434899,0
Eastern Buffer,Temperature,0.00301,TRUE,0.003704,,
Eastern Buffer,Chlorophyll-a,0.104588,FALSE,0.000736,,
Eastern Buffer,Dissolved Oxygen,0.000775,TRUE,0.014916,,
Eastern Buffer,Temp vs. Chl-a,,,,0.274714,0
Eastern Buffer,Temp vs. DO,,,,-0.373726,0
Victoria Harbour,Temperature,0.001044,TRUE,0.00372,,
Victoria Harbour,Chlorophyll-a,0.001208,TRUE,0.001418,,
Victoria Harbour,Dissolved Oxygen,0,TRUE,0.031159,,
Victoria Harbour,Temp vs. Chl-a,,,,0.361433,0
Victoria Harbour,Temp vs. DO,,,,-0.255115,0